student_number,name,gender,age,department_code,semester,academic_year,attendance_percentage,previous_cgpa,mid_1,mid_2,internal_marks,backlogs,semester_cgpa,grade,risk_level,academic_average,attendance_risk_score,attendance_risk_category,internal_average,mid_term_average,backlog_severity_score,backlog_severity_category,previous_cgpa_trend,academic_stability
2023it001,Rahul Singireddy,MALE,18,IT,1,2020-2021,97.0,8.34,89.18,93.9,97.43,0,8.71,A+,LOW,93.5,0.0,NORMAL,0.9743,91.54,0.0,NONE,0.0,0.0
2023it001,Rahul Singireddy,MALE,18,IT,2,2020-2021,94.46,8.71,99.68,94.81,87.47,0,9.07,O,LOW,93.99,0.0,NORMAL,0.8747,97.24,0.0,NONE,0.37,0.0
2023it001,Rahul Singireddy,MALE,19,IT,3,2021-2022,93.93,8.89,87.6,91.85,80.25,0,8.43,A+,LOW,86.57,0.0,NORMAL,0.8025,89.72,0.0,NONE,0.18,0.2804
2023it001,Rahul Singireddy,MALE,19,IT,4,2021-2022,93.92,8.74,84.51,92.47,85.28,0,8.45,A+,LOW,87.42,0.0,NORMAL,0.8528,88.49,0.0,NONE,-0.15,0.2337
2023cs002,Aditya Chopra,MALE,20,CS,1,2020-2021,99.14,8.48,88.37,90.13,82.69,0,8.44,A+,LOW,87.06,0.0,NORMAL,0.8269,89.25,0.0,NONE,0.0,0.0
2023cs002,Aditya Chopra,MALE,20,CS,2,2020-2021,93.55,8.44,82.73,91.89,86.81,0,8.49,A+,LOW,87.14,0.0,NORMAL,0.8681,87.31,0.0,NONE,-0.04,0.0
2023cs002,Aditya Chopra,MALE,21,CS,3,2021-2022,90.53,8.46,100.0,89.47,84.52,0,8.87,A+,LOW,91.33,0.0,NORMAL,0.8452,94.74,0.0,NONE,0.02,0.02
2023cs002,Aditya Chopra,MALE,21,CS,4,2021-2022,87.89,8.6,90.72,77.71,83.17,0,8.55,A+,LOW,83.87,0.0,NORMAL,0.8317,84.22,0.0,NONE,0.14,0.0719
2023cs002,Aditya Chopra,MALE,22,CS,5,2022-2023,95.56,8.59,90.41,88.69,88.3,0,8.42,A+,LOW,89.13,0.0,NORMAL,0.883,89.55,0.0,NONE,-0.01,0.0754
2023cs002,Aditya Chopra,MALE,22,CS,6,2022-2023,89.55,8.55,86.54,95.64,91.53,0,8.43,A+,LOW,91.24,0.0,NORMAL,0.9153,91.09,0.0,NONE,-0.04,0.069
2023cs002,Aditya Chopra,MALE,23,CS,7,2023-2024,93.56,8.53,86.91,85.15,92.87,0,8.87,A+,LOW,88.31,0.0,NORMAL,0.9287,86.03,0.0,NONE,-0.02,0.0631
2023cs002,Aditya Chopra,MALE,23,CS,8,2023-2024,95.82,8.58,84.1,87.28,91.47,0,8.86,A+,LOW,87.62,0.0,NORMAL,0.9147,85.69,0.0,NONE,0.05,0.062
2023mech003,Ananya Reddy,FEMALE,20,MECH,1,2020-2021,75.52,7.19,78.76,73.23,74.29,0,7.49,A,LOW,75.43,0.0,NORMAL,0.7429,76.0,0.0,NONE,0.0,0.0
2023mech003,Ananya Reddy,FEMALE,20,MECH,2,2020-2021,82.06,7.49,79.04,85.5,82.08,1,7.4,A,LOW,82.21,0.0,NORMAL,0.8208,82.27,0.2,MODERATE,0.3,0.0
2023mech003,Ananya Reddy,FEMALE,21,MECH,3,2021-2022,77.29,7.45,88.3,78.86,88.09,0,7.36,A,LOW,85.08,0.0,NORMAL,0.8809,83.58,0.0,NONE,-0.04,0.1629
2023mech003,Ananya Reddy,FEMALE,21,MECH,4,2021-2022,78.33,7.42,79.2,76.88,80.73,1,6.97,B,MEDIUM,78.94,0.0,NORMAL,0.8073,78.04,0.2,MODERATE,-0.03,0.1348
2023mech003,Ananya Reddy,FEMALE,22,MECH,5,2022-2023,73.37,7.3,80.42,87.15,77.68,0,7.47,A,LOW,81.75,0.0217,AT_RISK,0.7768,83.78,0.0,NONE,-0.12,0.1231
2023mech003,Ananya Reddy,FEMALE,22,MECH,6,2022-2023,71.45,7.34,83.38,79.86,77.62,0,7.71,A,LOW,80.29,0.0473,AT_RISK,0.7762,81.62,0.0,NONE,0.04,0.1108
2023mech003,Ananya Reddy,FEMALE,23,MECH,7,2023-2024,73.05,7.4,83.3,73.27,78.63,2,7.0,A,LOW,78.4,0.026,AT_RISK,0.7863,78.28,0.4,MODERATE,0.06,0.102
2023ai004,Rahul Deshmukh,MALE,20,AI,1,2020-2021,47.03,5.54,42.49,42.28,41.42,4,3.96,C,HIGH,42.06,0.3729,CRITICAL,0.4142,42.39,0.8,SEVERE,0.0,0.0
2023ai004,Rahul Deshmukh,MALE,20,AI,2,2020-2021,45.88,3.96,37.52,37.99,37.38,3,3.1,C,HIGH,37.63,0.3883,CRITICAL,0.3738,37.76,0.6,SEVERE,-1.58,0.0
2023ai004,Rahul Deshmukh,MALE,21,AI,3,2021-2022,51.81,3.53,50.69,40.42,42.68,3,3.13,C,HIGH,44.6,0.3092,CRITICAL,0.4268,45.56,0.6,SEVERE,-0.43,1.0584
2023ai004,Rahul Deshmukh,MALE,21,AI,4,2021-2022,41.17,3.4,38.54,39.06,53.71,1,3.54,C,HIGH,43.77,0.4511,CRITICAL,0.5371,38.8,0.2,MODERATE,-0.13,0.9845
2023ai004,Rahul Deshmukh,MALE,22,AI,5,2022-2023,48.7,3.43,37.82,31.01,47.11,1,3.54,C,HIGH,38.65,0.3507,CRITICAL,0.4711,34.42,0.2,MODERATE,0.03,0.9049
2023ai004,Rahul Deshmukh,MALE,22,AI,6,2022-2023,49.31,3.45,31.89,45.77,34.38,2,3.17,C,HIGH,37.35,0.3425,CRITICAL,0.3438,38.83,0.4,MODERATE,0.02,0.8369
